,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,HNR,HNR,HNR,HNR,HNR,HNR,HNR,HNR,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcasm,22.0,168.84180104911613,31.23039656634287,90.66814178465197,148.53255440099753,166.51894663308508,189.71612477934127,223.15817225026612,22.0,48.58010117655261,19.907730531079352,23.95723161213768,35.4151496066948,43.02324697521901,51.61832928827124,95.44406575698704,22.0,9.328226834216965,1.6237633954313297,6.410409134215442,8.17518340139355,9.437921794407359,9.924916400349478,12.633269592347007,22.0,65.60672930465904,5.175452574430743,49.55873979728693,63.137205749788734,65.25844927289238,68.17578280265869,75.05552322047808,22.0,2.847902687619285,0.9524164007448888,0.8818342151675486,2.211255003616561,3.0702760929246233,3.517810871947112,4.1917050087600085,22.0,4.20519791691109,0.9494142227172351,1.3590418754777882,3.925519072916212,4.456114775555091,4.769399784386998,5.335365853658535,22.0,0.26075039110999076,0.11681132399107341,0.18742857142857147,0.20967485119047619,0.22441090838509314,0.25484759615384617,0.7358125
Sincere,14.0,139.8481829067123,33.23356476449899,95.8226136808891,119.85338983887652,131.64618957636185,144.60880356842893,214.80155373221325,14.0,49.288270105165076,25.225255076718184,5.89778866212943,35.09685167703105,43.72990054902998,56.89943013050504,101.87358751742948,14.0,8.261139811819064,1.7349460911220642,6.045887686669195,7.062771979778502,7.980034014952193,8.941049076835036,12.290579521792596,14.0,57.402120527789386,8.390927511493352,44.938989656904226,51.65623802221428,58.0891295855961,63.07223666748017,69.4608603497708,14.0,2.9839942092537792,0.8894569022138353,1.5544041450777202,2.494868754410621,2.9221003346489187,3.3982407128345913,5.113817962285593,14.0,3.152502510542316,0.7935931730300093,1.953125,2.602704645441364,3.04041370480253,3.5754132440782245,5.113817962285593,14.0,0.335234025794421,0.08121860330111899,0.1955486111111111,0.27976077251552794,0.32905381944444445,0.38560546875,0.512
