,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,meanF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,stdevF0Hz,HNR,HNR,HNR,HNR,HNR,HNR,HNR,HNR,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,IntensityAvg,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,SpeechRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,ArticulationRate,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration,AvgSyllableDuration
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcasm,6.0,258.32800423074303,47.980170972610836,205.89116068530245,215.19617840111914,260.7874176759425,292.3404286345087,319.6448317503955,6.0,66.89465519598092,24.177729175002412,34.390754456015486,53.22880397054301,66.97441624761231,76.68000907734441,104.46620432587041,6.0,9.36349557749161,2.512047859357725,6.152876475522109,7.401833158985092,9.592711281761778,11.356639538160653,12.226518350884197,6.0,63.21166930260623,9.118258494186106,51.39567072329228,56.81491385726454,63.77757804727641,70.6242740845308,72.91865710691616,6.0,3.3056845301287248,0.9999761422584381,1.9987507807620235,2.7294342152869886,3.2764261638521592,3.7066261130993556,4.885374410358987,6.0,4.544283007088242,0.7271625118489098,3.4517829075107103,4.074701393275571,4.90055237371882,4.978932584269663,5.208333333333334,6.0,0.22544579081632654,0.0405210936016673,0.192,0.20085714285714287,0.2040605867346939,0.24830931122448982,0.2897053571428571
Sincere,14.0,192.37551946620655,20.31589712348189,156.20913760609417,175.9577550599021,195.4399903136801,202.1291147177738,229.6903639851275,14.0,45.37689668224403,21.007940362657124,11.249905181441914,28.616854450114612,46.07286012132501,56.9832737656531,78.16704396511358,14.0,8.864307049550886,2.2377749166927496,4.714123776296918,7.59196941230752,8.706662179153389,9.972672249040428,13.129523241610247,14.0,53.36235842994915,4.390955595653835,42.960205085522254,51.415659282106816,52.76026480744311,56.13218114910192,60.67670107128562,14.0,3.2206536603737232,1.0769637624804946,1.5540015540015542,2.316141497429182,3.4183514789362777,3.990256428609774,5.037556784959294,14.0,3.687900286247189,0.9016301364575011,2.2234574763757644,3.173705763214893,3.6876846704421093,4.2315535780496845,5.248091603053435,14.0,0.2884213495041769,0.07915348726751338,0.19054545454545455,0.23651785714285717,0.27200833333333335,0.3154138392857143,0.44975
